prompt,example,response,version,model
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for business owners audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 5 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The impact of autonomous drones on delivery services.

TWITTER THREAD:","{'number_of_tweets': 5, 'text': 'The impact of autonomous drones on delivery services.', 'word_count': 90, 'target_audience': 'business owners', 'language': 'English'}","1/5: Delivery services are about to experience a major paradigm shift courtesy of autonomous drones. These unmanned devices offer a fast, efficient, and reliable delivery method that's set to shake up traditional logistics.

2/5: Autonomous drones aren’t just a futuristic fantasy. Companies globally are piloting operations, delivering small packages at lightning-fast speeds. The trend is not only reducing human contact in the delivery process but also boosting efficiency.

3/5: Believe it or not, these drones are also eco-friendly. As they are mostly powered by electricity, there's a substantial cutback on the emission of greenhouse gases. This is a green solution for the logistics industry!

4/5: However, like any other technology, autonomous drones too have their set of challenges. Regulatory hurdles, safety concerns, and public acceptance are critical issues that need addressing for seamless integration.

5/5: Nevertheless, autonomous drones are surely poised to reshape delivery services. As we adapt and overcome these challenges, the future promises a sky dotted with drones, swiftly and efficiently delivering packages. Stay ready, it’s coming!",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for business owners audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 5 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The impact of autonomous drones on delivery services.

TWITTER THREAD:","{'number_of_tweets': 5, 'text': 'The impact of autonomous drones on delivery services.', 'word_count': 90, 'target_audience': 'business owners', 'language': 'English'}","1/5. 🚁 📦 #Autonomous drones are revolutionizing #delivery services, providing a faster and more efficient way to transport goods. With their ability to navigate through traffic and avoid road congestion, drones can deliver packages in record time, saving businesses money on transportation costs. This technology also opens up new opportunities for #ecommerce businesses to offer #samedaydelivery or reach remote areas. However, challenges like regulations and safety concerns need to be addressed for widespread deployment. The future of delivery is taking flight with autonomous drones! #BusinessTech #Innovation",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for new parents audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 2 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Debating the ethics of gene editing technologies.

TWITTER THREAD:","{'number_of_tweets': 2, 'text': 'Debating the ethics of gene editing technologies.', 'word_count': 90, 'target_audience': 'new parents', 'language': 'English'}","Tweet 1: Entering the controversial world of gene editing technologies today! It’s a double-edge sword, a potential savior, yet a moral conundrum. Are we playing God or the hero? This is a topic that needs open discussion, and all voices heard. 1/2

Tweet 2: Making sense of this ethical labyrinth is crucial for our future. Let's remember to handle this pioneering tech with informed consensus and respect for diverse perspectives. Our collective wisdom can pave a sustainable path ahead. 2/2",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for new parents audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 2 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Debating the ethics of gene editing technologies.

TWITTER THREAD:","{'number_of_tweets': 2, 'text': 'Debating the ethics of gene editing technologies.', 'word_count': 90, 'target_audience': 'new parents', 'language': 'English'}","1/2 In a world where gene editing technologies like CRISPR are becoming a reality, ethical concerns arise. While the potential benefits are promising, questions about unintended consequences and the line between healing and enhancement remain. Ensuring responsible use is crucial to address these concerns and prevent potential harms. Discussions and global regulations must be in place to navigate this uncharted territory. Balancing progress and ethics is a delicate task as we embrace the potential of gene editing while considering the long-term implications. #genetics #ethics #CRISPR",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for government officials audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 4 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Assessing the impact of surveillance technology on privacy.

TWITTER THREAD:","{'number_of_tweets': 4, 'text': 'Assessing the impact of surveillance technology on privacy.', 'word_count': 90, 'target_audience': 'government officials', 'language': 'English'}","1. As we navigate through this age of information, surveillance technology's influence on privacy becomes a pressing concern for all. As we continue to adopt advanced tech, it's imperative we weigh the balance between security and privacy rights. 1/4

2. Surveillance tech can undeniably enhance security, monitor criminal activity, and safeguard public places. Yet, the increased reach can also pose threats to privacy, leading to potential misuse of personal data. A elephant in the room we can't ignore. 2/4

3. The need for robust data protection laws and transparency in surveillance operations cannot be overstated. Government agencies must ensure people's trust by promoting accountability and respect for individual privacy. 3/4

4. Technology is only as beneficial as its appropriate use. Striking a judicious balance between surveillance for safety and privacy protection is the penultimate challenge of this digital age. The future of data privacy depends on the steps we take today. 4/4",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for government officials audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 4 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Assessing the impact of surveillance technology on privacy.

TWITTER THREAD:","{'number_of_tweets': 4, 'text': 'Assessing the impact of surveillance technology on privacy.', 'word_count': 90, 'target_audience': 'government officials', 'language': 'English'}","1/4 In today's digital age, the use of surveillance technology has raised concerns about its impact on privacy. As government officials, it is crucial to evaluate the implications of these technologies. The balance between security and privacy is delicate, but it can be achieved by implementing strong regulations and oversight mechanisms. By ensuring transparency, collaborating with privacy advocates, and regularly updating policies, we can strike a balance that safeguards both national security and individual privacy rights. Let's work together to address these concerns effectively and responsibly. #PrivacyMatters

2/4 Surveillance technology has undoubtedly proven valuable in combating crime and terrorism. However, we must also acknowledge the potential for abuse and erosion of privacy. Transparency is key here; citizens must be informed about the types of data collected, how it is stored, and who has access to it. Implementing measures such as anonymization and strict data retention policies can help protect individuals' privacy. Let's prioritize accountability and ensure that surveillance technology is used responsibly and ethically to preserve citizens' trust in government institutions. #ResponsibleTechUse

3/4 Striking the right balance between security and privacy requires ongoing dialogue with experts and engagement with the public. Governments must proactively seek feedback and address concerns regarding surveillance technology. This can involve holding public consultations, creating independent oversight bodies, and collaborating with privacy organizations. By maintaining transparency and actively listening to citizens, we can build a robust framework that protects both national security and individual privacy. Together, we can achieve a society where surveillance technology is responsibly implemented. #PrivacyProtection

4/4 Lastly, staying up-to-date with technological advancements is crucial in regulating surveillance technology effectively. As government officials, let's invest in research and development to understand emerging technologies and their potential impact on privacy. By fostering innovation while maintaining strict safeguards, we can adapt our policies to address any challenges that may arise. Let's work towards a future where surveillance technology is used responsibly, ensuring the protection of individual privacy rights while safeguarding the security of our nations. #AdaptingToChange #PrivacyFirst",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for anti-vaxxers audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 6 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The controversy over mandatory vaccinations.

TWITTER THREAD:","{'number_of_tweets': 6, 'text': 'The controversy over mandatory vaccinations.', 'word_count': 90, 'target_audience': 'anti-vaxxers', 'language': 'English'}","1/6: The debate around obligatory vaccinations is a hot one. Should we be compelled to vaccinate? Let's take a deeper dive. Compulsory immunizations help to create 'herd immunity,' a safety net for the entire community. 

2/6: Herd immunity protects a significant percentage of the entire community, thus reducing the chance of an outbreak. With a reduction in outbreaks, the strain on our healthcare system also decreases. 

3/6: On the other hand, many argue that mandatory vaccines infringe on personal rights. Some draw on the principle of informed consent, insisting medical choices should be entirely personal decisions. 

4/6: However, the World Health Organization calls vaccine hesitancy one of the top ten threats to the global health. The repercussions of avoiding vaccines thus extend beyond the individual. 

5/6: Balancing public health needs and personal freedoms isn't easy. Yet, considering the immense repercussions of an unvaccinated world, could opting out really be an option? 

6/6: The controversy over mandatory vaccines continues, revealing the complex dynamism between individual choice and collective health. Where should the line be drawn? Feel free to comment on your thoughts. 6/6.",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for anti-vaxxers audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 6 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The controversy over mandatory vaccinations.

TWITTER THREAD:","{'number_of_tweets': 6, 'text': 'The controversy over mandatory vaccinations.', 'word_count': 90, 'target_audience': 'anti-vaxxers', 'language': 'English'}","1/6 Did you know that mandatory vaccinations have been a topic of controversy? Let's explore this issue and understand both sides of the argument. #VaccinesWork #VaccinationDebate #MandatoryVaccinations

2/6 One argument against mandatory vaccinations is individual freedom. People believe that parents should have the right to choose what's best for their children. However, it's crucial to consider the greater good and the protection of vulnerable populations. #IndividualChoice #PublicHealth

3/6 Another concern is the perceived risk of adverse effects from vaccines. While every medical intervention carries some risk, extensive research has shown vaccines to be safe and effective. The benefits far outweigh the potential risks. #VaccineSafety #ProtectYourCommunity

4/6 Vaccinations also contribute to herd immunity, which helps protect those who cannot be vaccinated, such as infants or individuals with compromised immune systems. By vaccinating ourselves and our children, we create a safer environment for everyone. #HerdImmunity #CommunityProtection

5/6 Misinformation and fear can fuel the anti-vaccination movement. It's crucial to rely on credible scientific evidence and consult healthcare professionals for accurate information. Vaccinations have eradicated dangerous diseases in the past, and they continue to be crucial for public health. #TrustScience #FightMisinformation

6/6 While the debate around mandatory vaccinations continues, it's important to prioritize public health and protect the most vulnerable members of society. Let's make informed decisions based on scientific evidence and work towards a healthier future. #PublicHealthFirst #InformedDecisions",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for students in economics audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 4 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Exploring the pros and cons of a cashless society.

TWITTER THREAD:","{'number_of_tweets': 4, 'text': 'Exploring the pros and cons of a cashless society.', 'word_count': 90, 'target_audience': 'students in economics', 'language': 'English'}","1/4 ""Let's navigate the potential future, a cashless society, together. It forgoes traditional paper and metal currencies, leveraging digital means for transactions. The upsides? Fast transactions, reduced crime, and better economic data tracking. 

2/4 However, a cashless society isn't without its drawbacks. Relying solely on digital transactions could increase cybersecurity threats and risk systemic failures. Plus, not everyone has access to the necessary tech for non-cash transactions.

3/4 Privacy is another point to consider, in a cashless society, all of our purchases might be traceable, posing potential concerns for personal data security and privacy. Also, vulnerable communities might be disproportionately disadvantaged. 

4/4 Ultimately, it's a balancing act between convenience and potential risk. As a society, we need to make inclusive policies, if we decide to walk down the cashless path. Definitions, benefits, and threats of a cashless society, dissected here for students in economics. 4/4",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for students in economics audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 4 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Exploring the pros and cons of a cashless society.

TWITTER THREAD:","{'number_of_tweets': 4, 'text': 'Exploring the pros and cons of a cashless society.', 'word_count': 90, 'target_audience': 'students in economics', 'language': 'English'}","1/4 Cashless society: a game-changer or a double-edged sword? 🔎💰💳 Let's examine the pros and cons. On one hand, going cashless enhances convenience and efficiency, with digital transactions making payments seamless and instant. It can also reduce the risk of theft and counterfeiting. However, concerns arise about financial exclusion for those without access to digital payment options. Data privacy and security issues are also raised. Finding a balance is key to harnessing the benefits while mitigating potential risks. Is a cashless society the way forward? Let's dive in! #Economics #CashlessSociety

2/4 Pro: Enhanced convenience and efficiency - Digital transactions make payments seamless and instant, saving time and effort. No need to carry bulky wallets or make trips to ATMs. 🚫💰🏧 #Economics #CashlessSociety

3/4 Pro: Reduced risk of theft and counterfeiting - With less physical cash in circulation, the likelihood of theft and counterfeit bills decreases, promoting economic stability and trust in the system. 💼🔒💵 #Economics #CashlessSociety

4/4 Con: Financial exclusion and data privacy concerns - Not everyone has access to digital payment options, leaving them at a disadvantage and potentially widening socioeconomic gaps. Additionally, questions arise about data privacy and security risks associated with a cashless society. 💻🔓🚫 #Economics #CashlessSociety",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for middle school students audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 3 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Should social media platforms censor fake news?

TWITTER THREAD:","{'number_of_tweets': 3, 'text': 'Should social media platforms censor fake news?', 'word_count': 90, 'target_audience': 'middle school students', 'language': 'English'}","1/3 Are social media platforms responsible for tackling fake news? This debate brews as misinformation continues to spread. While some argue that free speech should reign supreme, others suggest that platforms should intervene.

2/3 Monitoring and controlling false news could help maintain trust and credibility. Yet, it raises questions. Who defines what's fake? Could this lead to suppressing diverse opinions? In an increasingly digital world, discerning truth is getting trickier.

3/3 Encouraging media literacy could be a solution - teaching users to question, analyze, and decide what's authentic. The debate is complex and ongoing. Social media's role in handling fake news remains a contentious issue.",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for middle school students audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 3 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Should social media platforms censor fake news?

TWITTER THREAD:","{'number_of_tweets': 3, 'text': 'Should social media platforms censor fake news?', 'word_count': 90, 'target_audience': 'middle school students', 'language': 'English'}","1/3 Fake news on social media: should it be censored? 🤔 Let's explore this fascinating debate! While freedom of speech is crucial, it's important to consider the impact of false information on society. 🌍 Censorship can protect users from misleading content, but it also raises concerns about biased control. So, what's the solution? Education! Learning critical thinking skills helps us distinguish between real and fake news. Let's foster digital literacy to empower ourselves and make informed decisions. 💪 #FakeNewsDebate",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for policy makers audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 5 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The debate on net neutrality and its implications for users.

TWITTER THREAD:","{'number_of_tweets': 5, 'text': 'The debate on net neutrality and its implications for users.', 'word_count': 90, 'target_audience': 'policy makers', 'language': 'English'}","1/5: A crucial subject at the forefront of our digital lives is Net Neutrality. It's the principle that all online content should be treated equally, irrespective of the source. Let's delve into its implications for users. 

2/5: Without net neutrality, internet service providers could have the power to throttle or block sites, or even prioritize access to content from paying partners. This infringes on the breadth of our digital world.

3/5: This would compromise the freedom of information, which is a vital cornerstone of our democracy. The digital divide would deepen, limiting opportunities for those unable to pay for premium access to resources.

4/5: However, some argue net neutrality inhibits innovation by discouraging investment in higher-quality services for those willing to pay, indicating there isn't a one-size-fits-all solution.

5/5: It's essential for policy makers to engage in an inclusive and balanced dialogue on net neutrality. Access to diverse opinions that reflect all perspectives will foster informed decision-making for the benefit of all.",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for policy makers audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 5 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The debate on net neutrality and its implications for users.

TWITTER THREAD:","{'number_of_tweets': 5, 'text': 'The debate on net neutrality and its implications for users.', 'word_count': 90, 'target_audience': 'policy makers', 'language': 'English'}","1/5 Net neutrality is a hot topic with crucial implications for users. It refers to the principle that all internet traffic should be treated equally, without discrimination or preferential treatment. This principle safeguards internet openness and prevents ISPs from controlling access to online content. Without net neutrality, ISPs could potentially slow down or block certain websites, create ""fast lanes"" for preferred content, or charge extra fees for faster access. The potential loss of net neutrality threatens consumer rights and could hinder innovation. Let's dive deeper into the implications.",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for Americans shoppers audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 6 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The consequences of fast fashion on the environment.

TWITTER THREAD:","{'number_of_tweets': 6, 'text': 'The consequences of fast fashion on the environment.', 'word_count': 90, 'target_audience': 'Americans shoppers', 'language': 'English'}","1/6: Fast fashion is cheap, trendy, and quickly produced. While it's appealing to our wallets and sense of style, it's wreaking havoc on our environment. Here, you'll know why.

2/6: The clothing industry ranks second for pollution, right after the oil industry. Massive production means overuse of natural resources. It's not just about recycling clothes, but reassessing our shopping habits.

3/6: Fast fashion brands release thousand of new designs into the market every week, contributing to the 13 trillion litres of water used for fabric dyeing annually, that's nearly 5 million Olympic swimming pools!

4/6: Moreover, many fashion items end up as waste before they even reach consumers. This trend delivers a one-two punch: biodiversity loss due to resource extraction and contribution to an already problematic waste crisis.

5/6: Transforming our fashion consumption is an urgent matter. Solutions? Buy less, choose better quality, purchase thrift, repair, recycle. Every choice you make has an impact.

6/6: The cost of fast fashion is more than the price tag. It's about our planet's future. Let’s make fashion sustainable for the better of our environment.",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for Americans shoppers audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 6 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The consequences of fast fashion on the environment.

TWITTER THREAD:","{'number_of_tweets': 6, 'text': 'The consequences of fast fashion on the environment.', 'word_count': 90, 'target_audience': 'Americans shoppers', 'language': 'English'}","🌍 Fast fashion, a global phenomenon, has immense environmental consequences. 📉 The incessant production of low-quality clothes ➡️ increased waste. Textile production🏭 is the 2nd largest contributor to water pollution, 🌊 while fabric dyeing and finishing emit toxic chemicals. 🔥 Not to mention the CO2 footprint from transportation and the use of non-renewable resources. 💔 Let's reconsider our consumer habits and choose sustainable fashion alternatives. 🌱 Together, we can make a difference! 1/6 #SustainableFashion #FastFashionImpacts",4,gpt-3
